id,title,url,group_id,thumbnail_url,icon,color_gradient,clicks,enabled,display_order,is_internal,created_at,updated_at,subtitle,is_featured,card_height,event_id,card_width,override_date,override_time,manual_order_override
"ca0a8ce2-5c82-4707-a8c0-4fa602f80e28","D.EDGE apres. SuperAfter","bit.ly/MDAccula_DEdge_listas","dd88fff8-b138-44a3-bcf4-1139823049ac","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1769551066066-4e12sh.png","Calendar","from-purple-500 to-pink-500",1,true,8,false,"2026-01-27T06:00:07.200864+00:00","2026-02-10T14:48:34.59722+00:00","",false,60,"141c80e7-a32c-4f07-bf5f-e66ac615360c",650,"","",false
"52f1b525-7c2c-42b8-8777-1ddb7c601389","D.EDGE apres. SuperAfter","bit.ly/MDAccula_DEdge_listas","dd88fff8-b138-44a3-bcf4-1139823049ac","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1771456932152-8e9u69.png","Calendar","from-purple-500 to-pink-500",1,true,1771736400,false,"2026-02-17T06:00:10.498304+00:00","2026-02-18T23:22:27.58564+00:00","📄 Listas VIP Fem / Consuma Masc pelo link: ",false,60,"0b71cafa-1195-4c5d-b512-6a7c17f7fd68",650,"","",false
"4871846b-72f7-49c7-ac29-b39ecc8698c4","D.EDGE apres. Nave","bit.ly/MDAccula_DEdge_listas","dd88fff8-b138-44a3-bcf4-1139823049ac","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770209115163-wq9vpi.png","Calendar","from-purple-500 to-pink-500",2,true,11,false,"2026-02-03T06:00:03.181877+00:00","2026-02-10T14:48:35.353151+00:00","📄 Listas VIP Fem / Consuma Masc pelo link: ",false,60,"c18d79fa-ee77-4699-a0c7-035c493e7357",650,"","",false
"b4bf8f29-bded-4ed0-9298-8631ac9273e7","🎉 Ame Laroc Festival - Domingo","https://bit.ly/THP_ALF26","bd915876-c621-4710-b9d6-e67b06b8156c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770822414010-de1jpg.jpeg","Calendar","",2,true,1771178400,false,"2026-01-28T11:03:55.537845+00:00","2026-02-15T01:22:56.850418+00:00","🎟️ Compre com DESCONTO pelo link: ",false,80,"2b325fc9-895d-4667-a69f-ac6ff3c589ad",650,"","",false
"fd24b48b-c5fb-47ad-bbf1-2784c7a6fde9","🎭 Carnaval na Cidade","https://bit.ly/MDAccula_CNC26","bd915876-c621-4710-b9d6-e67b06b8156c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770822388735-tss83d.jpeg","Calendar","",4,true,1771160400,false,"2026-01-21T13:14:39.261397+00:00","2026-02-15T20:05:12.217138+00:00","🚨 LOTE ANTERIOR PELO LINK!!",false,80,"de4d9313-8610-47ef-a44d-1cc91d0cf8af",650,"","",false
"73a7dd2a-4cfd-45da-aa32-8b2680a0e87f","D.EDGE apres. Nave","bit.ly/MDAccula_DEdge_listas","dd88fff8-b138-44a3-bcf4-1139823049ac","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/0.8762608676338589.webp","Calendar","from-purple-500 to-pink-500",0,false,16,false,"2026-02-10T06:00:05.268887+00:00","2026-02-10T14:48:37.761624+00:00","📄 Listas VIP Fem / Consuma Masc pelo link: ",false,60,"",650,"","",false
"c80f2339-277b-477c-ae73-d67b603f4604","D.EDGE apres. Unlimited","https://bit.ly/MDAccula_DEdge_listas","e53696d1-d834-48da-a140-1feb43efd00d","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1764721072251-ol7h4.jpg","Calendar","",0,true,1765065540,false,"2025-12-03T00:18:20.863587+00:00","2025-12-25T21:02:51.987617+00:00","📄 Listas VIP Fem/Consuma Masc pelo link",false,"","8b2b5b5e-eae9-4123-aa36-84c6743344a3",700,"","",false
"cf42ea4b-ae0d-4c5e-8355-8338e36606de","Rooftech","https://bit.ly/MDAccula_2211_RoofTech_VIP","95c67a6a-6a7e-4332-aab0-9c37d90531b5","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1763638720319-uft9j8.jpeg","Calendar","",0,true,1763841600,false,"2025-11-20T11:38:40.512233+00:00","2025-12-25T21:02:51.987617+00:00","🎟️ Compre 50% OFF pelo link:",false,"","335a7213-f9af-469b-9d33-46fdda6e512e",700,"","",false
"3cebc455-4673-4c93-8e88-1731a785dbc8","Entrar para Divulgação MDAccula (Masc, Fem e LGBQT)","https://mdaccula.com/r/Contato_MD_TP","bc385dc0-e65d-4232-b3e6-43abeb0a2da4","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/link-thumbnails/55cea223-8370-4d87-9b51-872b1c6c2201.jpeg","ExternalLink","from-pink-500 to-rose-500",350,true,2,false,"2025-11-19T00:56:51.855821+00:00","2026-02-19T10:30:50.96793+00:00","Seja um divulgador(a) MDAccula e tenha cortesia para os principais eventos!",false,"","",700,"","",true
"81d5c774-3941-4815-b03a-2b0d2e354a35","D-Rete inside D-Edge","https://bit.ly/MDAccula_1202_DRete26","dd88fff8-b138-44a3-bcf4-1139823049ac","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770734710262-yhik4c.png","Calendar","",5,true,13,false,"2026-02-03T13:05:20.367098+00:00","2026-02-12T02:34:17.875846+00:00","🎟️ Compre 10% OFF pelo link:",false,80,"561f97ae-63eb-4821-b2f8-2f85e6e2ec93",650,"","",true
